Website,Status,Message,CreatedDate
https://any2digital.com/,Success,Crawl completed,2026-06-19T18:03:26.065874
https://www.adbez.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:03:28.102442
https://www.adlaxy.in/,Success,Crawl completed,2026-06-19T18:03:31.840242
https://skillsify.in/,Success,Crawl completed,2026-06-19T18:03:33.192765
https://lifeshow.in/,Success,Crawl completed,2026-06-19T18:03:33.817824
https://kanhaserviceshub.blogspot.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:03:36.708988
http://www.digirankmedia.com/,Failed,"HTTPConnectionPool(host='www.digirankmedia.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x10a723350>: Failed to resolve 'www.digirankmedia.com' ([Errno 8] nodename nor servname provided, or not known)""))",2026-06-19T18:03:37.055440
https://7seamarketing.com/,Success,Crawl completed,2026-06-19T18:03:42.381360
https://digitalcrave.com/,Failed,403 Client Error: Forbidden for url: https://www.atom.com/name/DigitalCrave,2026-06-19T18:03:44.406724
https://digitalshukla.com/,Success,Crawl completed,2026-06-19T18:03:49.630262
https://digitaljankari.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:03:50.544046
https://me2digital.in/,Success,Crawl completed,2026-06-19T18:03:53.567285
http://www.barkhacollection.in/,Success,Crawl completed,2026-06-19T18:03:54.830973
https://aashishvats.in/,Failed,"HTTPSConnectionPool(host='aashishvats.in', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111179450>: Failed to resolve 'aashishvats.in' ([Errno 8] nodename nor servname provided, or not known)""))",2026-06-19T18:03:54.865597
https://toprankmedia.breakingworldtimes.com/,Failed,"HTTPSConnectionPool(host='toprankmedia.breakingworldtimes.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111178a50>: Failed to resolve 'toprankmedia.breakingworldtimes.com' ([Errno 8] nodename nor servname provided, or not known)""))",2026-06-19T18:03:55.182803
http://www.digitalmarketingclue.com/,Success,Crawl completed,2026-06-19T18:04:00.885764
https://digitalmarketingking.in/,Success,Crawl completed,2026-06-19T18:04:03.583693
https://admomenta.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:04:04.627815
http://www.glideup.in/,Success,Crawl completed,2026-06-19T18:04:07.252054
https://syeddanishali.com/,Failed,unhashable type: 'list',2026-06-19T18:04:16.225728
https://advaana.co/,Success,Crawl completed,2026-06-19T18:04:23.170345
https://webesters.in/,Success,Crawl completed,2026-06-19T18:04:25.718331
https://digitalmarketingservicesindia.in/,Success,Crawl completed,2026-06-19T18:04:36.446618
http://realgraphix.in/,Success,Crawl completed,2026-06-19T18:04:57.520444
http://www.digitalclinch.com/,Success,Crawl completed,2026-06-19T18:05:04.519285
https://webzpapa.com/seo-company-delhi.html,Success,Crawl completed,2026-06-19T18:05:12.755326
https://www.mgiwebzone.com/,Success,Crawl completed,2026-06-19T18:05:42.134091
https://newzensolution.com/,Success,Crawl completed,2026-06-19T18:05:43.654653
http://kayradigitalsolution.com/,Failed,"HTTPConnectionPool(host='kayradigitalsolution.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x109abae00>: Failed to resolve 'kayradigitalsolution.com' ([Errno 8] nodename nor servname provided, or not known)""))",2026-06-19T18:05:43.941822
https://brandholic.in/,Failed,"HTTPSConnectionPool(host='brandholic.in', port=443): Read timed out. (read timeout=15)",2026-06-19T18:06:29.558844
https://gdbharat.netlify.app/,Success,Crawl completed,2026-06-19T18:06:31.980747
https://www.naiyadot.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:06:35.722967
https://www.javedakhter.com/,Success,Crawl completed,2026-06-19T18:06:37.565213
https://adzorra.com/,Success,Crawl completed,2026-06-19T18:06:39.463130
http://www.designhost.in/,Success,Crawl completed,2026-06-19T18:06:39.812861
https://digizebra.in/,Success,Crawl completed,2026-06-19T18:06:52.569928
https://www.paradigminfoweb.com/,Failed,403 Client Error: Forbidden for url: https://www.paradigminfoweb.com/,2026-06-19T18:06:53.344201
http://adstalento.com/,Success,Crawl completed,2026-06-19T18:06:57.680087
http://brandgrowthmedia.com/,Failed,"HTTPConnectionPool(host='brandgrowthmedia.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x110b55d00>: Failed to resolve 'brandgrowthmedia.com' ([Errno 8] nodename nor servname provided, or not known)""))",2026-06-19T18:06:57.856821
https://profitbyppc.com/,Success,Crawl completed,2026-06-19T18:06:59.385909
https://ajdigitalmarketer.in/,Failed,"HTTPSConnectionPool(host='ajdigitalmarketer.in', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1032)')))",2026-06-19T18:06:59.934743
https://digitisementmedia.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:07:00.633189
https://risearnmedia.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:07:01.274974
https://www.bd.agency/,Success,Crawl completed,2026-06-19T18:07:06.130378
https://www.agencyofsuccess.com/,Failed,"HTTPSConnectionPool(host='www.agencyofsuccess.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111ac5590>: Failed to resolve 'www.agencyofsuccess.com' ([Errno 8] nodename nor servname provided, or not known)""))",2026-06-19T18:07:07.539758
https://nitaienterprises.com/,Success,Crawl completed,2026-06-19T18:07:08.364551
http://www.klmtmedia.in/,Success,Crawl completed,2026-06-19T18:07:12.576082
https://digitalmachao.com/,Success,Crawl completed,2026-06-19T18:07:15.469979
https://forms.gle/zLNERRaBphec5Pyk9,Failed,Website does not appear to be a valid business website,2026-06-19T18:07:19.525505
https://www.kadvtg.com/,Failed,Website does not appear to be a valid business website,2026-06-19T18:07:26.673305
https://www.priyalaxmipromotions.com/,Failed,"HTTPSConnectionPool(host='www.priyalaxmipromotions.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))",2026-06-19T18:07:29.072911
